Course_Name,Branch_Department,Duration_Years,Semesters,Level,Regulatory_Body,Category
B.Tech,Computer Science & Engineering (CSE),4,8,Undergraduate,AICTE,Engineering & Technology
B.Tech,Computer Science & Engineering (AI & ML),4,8,Undergraduate,AICTE,Engineering & Technology
B.Tech,Computer Science & Engineering (Data Science),4,8,Undergraduate,AICTE,Engineering & Technology
B.Tech,Computer Science & Engineering (Cyber Security),4,8,Undergraduate,AICTE,Engineering & Technology
B.Tech,Computer Science & Engineering (IoT),4,8,Undergraduate,AICTE,Engineering & Technology
B.Tech,Computer Science & Engineering (Blockchain),4,8,Undergraduate,AICTE,Engineering & Technology
B.Tech,Information Technology (IT),4,8,Undergraduate,AICTE,Engineering & Technology
B.Tech,Electronics & Communication Engineering (ECE),4,8,Undergraduate,AICTE,Engineering & Technology
B.Tech,Electronics & Communication Engineering (VLSI),4,8,Undergraduate,AICTE,Engineering & Technology
B.Tech,Electrical Engineering (EE),4,8,Undergraduate,AICTE,Engineering & Technology
B.Tech,Electrical & Electronics Engineering (EEE),4,8,Undergraduate,AICTE,Engineering & Technology
B.Tech,Mechanical Engineering (ME),4,8,Undergraduate,AICTE,Engineering & Technology
B.Tech,Civil Engineering (CE),4,8,Undergraduate,AICTE,Engineering & Technology
B.Tech,Chemical Engineering,4,8,Undergraduate,AICTE,Engineering & Technology
B.Tech,Biotechnology,4,8,Undergraduate,AICTE,Engineering & Technology
B.Tech,Aerospace Engineering,4,8,Undergraduate,AICTE,Engineering & Technology
B.Tech,Aeronautical Engineering,4,8,Undergraduate,AICTE,Engineering & Technology
B.Tech,Automobile Engineering,4,8,Undergraduate,AICTE,Engineering & Technology
B.Tech,Petroleum Engineering,4,8,Undergraduate,AICTE,Engineering & Technology
B.Tech,Mining Engineering,4,8,Undergraduate,AICTE,Engineering & Technology
B.Tech,Metallurgical Engineering,4,8,Undergraduate,AICTE,Engineering & Technology
B.Tech,Materials Science & Engineering,4,8,Undergraduate,AICTE,Engineering & Technology
B.Tech,Instrumentation & Control Engineering,4,8,Undergraduate,AICTE,Engineering & Technology
B.Tech,Robotics & Automation,4,8,Undergraduate,AICTE,Engineering & Technology
B.Tech,Mechatronics,4,8,Undergraduate,AICTE,Engineering & Technology
B.Tech,Agricultural Engineering,4,8,Undergraduate,AICTE,Engineering & Technology
B.Tech,Food Technology,4,8,Undergraduate,AICTE,Engineering & Technology
B.Tech,Textile Engineering,4,8,Undergraduate,AICTE,Engineering & Technology
B.Tech,Production Engineering,4,8,Undergraduate,AICTE,Engineering & Technology
B.Tech,Industrial Engineering,4,8,Undergraduate,AICTE,Engineering & Technology
B.Tech,Marine Engineering,4,8,Undergraduate,AICTE,Engineering & Technology
B.Tech,Naval Architecture,4,8,Undergraduate,AICTE,Engineering & Technology
B.Tech,Environmental Engineering,4,8,Undergraduate,AICTE,Engineering & Technology
B.Tech,Biomedical Engineering,4,8,Undergraduate,AICTE,Engineering & Technology
B.Tech,Genetic Engineering,4,8,Undergraduate,AICTE,Engineering & Technology
B.Tech,Nanotechnology,4,8,Undergraduate,AICTE,Engineering & Technology
M.Tech,Computer Science & Engineering (CSE),2,4,Postgraduate,AICTE,Engineering & Technology
M.Tech,Computer Science & Engineering (AI & ML),2,4,Postgraduate,AICTE,Engineering & Technology
M.Tech,Computer Science & Engineering (Data Science),2,4,Postgraduate,AICTE,Engineering & Technology
M.Tech,Computer Science & Engineering (Cyber Security),2,4,Postgraduate,AICTE,Engineering & Technology
M.Tech,Information Technology (IT),2,4,Postgraduate,AICTE,Engineering & Technology
M.Tech,Electronics & Communication Engineering (ECE),2,4,Postgraduate,AICTE,Engineering & Technology
M.Tech,Electronics & Communication Engineering (VLSI),2,4,Postgraduate,AICTE,Engineering & Technology
M.Tech,Electrical Engineering (EE),2,4,Postgraduate,AICTE,Engineering & Technology
M.Tech,Electrical & Electronics Engineering (EEE),2,4,Postgraduate,AICTE,Engineering & Technology
M.Tech,Mechanical Engineering (ME),2,4,Postgraduate,AICTE,Engineering & Technology
M.Tech,Civil Engineering (CE),2,4,Postgraduate,AICTE,Engineering & Technology
M.Tech,Chemical Engineering,2,4,Postgraduate,AICTE,Engineering & Technology
M.Tech,Biotechnology,2,4,Postgraduate,AICTE,Engineering & Technology
M.Tech,Aerospace Engineering,2,4,Postgraduate,AICTE,Engineering & Technology
M.Tech,Aeronautical Engineering,2,4,Postgraduate,AICTE,Engineering & Technology
M.Tech,Automobile Engineering,2,4,Postgraduate,AICTE,Engineering & Technology
M.Tech,Petroleum Engineering,2,4,Postgraduate,AICTE,Engineering & Technology
M.Tech,Mining Engineering,2,4,Postgraduate,AICTE,Engineering & Technology
M.Tech,Metallurgical Engineering,2,4,Postgraduate,AICTE,Engineering & Technology
M.Tech,Materials Science & Engineering,2,4,Postgraduate,AICTE,Engineering & Technology
M.Tech,Instrumentation & Control Engineering,2,4,Postgraduate,AICTE,Engineering & Technology
M.Tech,Robotics & Automation,2,4,Postgraduate,AICTE,Engineering & Technology
M.Tech,Mechatronics,2,4,Postgraduate,AICTE,Engineering & Technology
M.Tech,Agricultural Engineering,2,4,Postgraduate,AICTE,Engineering & Technology
M.Tech,Food Technology,2,4,Postgraduate,AICTE,Engineering & Technology
M.Tech,Textile Engineering,2,4,Postgraduate,AICTE,Engineering & Technology
M.Tech,Production Engineering,2,4,Postgraduate,AICTE,Engineering & Technology
M.Tech,Industrial Engineering,2,4,Postgraduate,AICTE,Engineering & Technology
M.Tech,Marine Engineering,2,4,Postgraduate,AICTE,Engineering & Technology
M.Tech,Naval Architecture,2,4,Postgraduate,AICTE,Engineering & Technology
M.Tech,Environmental Engineering,2,4,Postgraduate,AICTE,Engineering & Technology
M.Tech,Biomedical Engineering,2,4,Postgraduate,AICTE,Engineering & Technology
M.Tech,Genetic Engineering,2,4,Postgraduate,AICTE,Engineering & Technology
M.Tech,Nanotechnology,2,4,Postgraduate,AICTE,Engineering & Technology
Diploma in Engineering,Civil Engineering,3,6,Diploma,AICTE,Engineering & Technology
Diploma in Engineering,Mechanical Engineering,3,6,Diploma,AICTE,Engineering & Technology
Diploma in Engineering,Electrical Engineering,3,6,Diploma,AICTE,Engineering & Technology
Diploma in Engineering,Electronics Engineering,3,6,Diploma,AICTE,Engineering & Technology
Diploma in Engineering,Computer Science & Engineering,3,6,Diploma,AICTE,Engineering & Technology
Diploma in Engineering,Automobile Engineering,3,6,Diploma,AICTE,Engineering & Technology
Diploma in Engineering,Chemical Engineering,3,6,Diploma,AICTE,Engineering & Technology
Diploma in Engineering,Mining Engineering,3,6,Diploma,AICTE,Engineering & Technology
Diploma in Engineering,Textile Technology,3,6,Diploma,AICTE,Engineering & Technology
Diploma in Engineering,Agricultural Engineering,3,6,Diploma,AICTE,Engineering & Technology
Integrated B.Tech + M.Tech,CSE,5,10,Integrated,AICTE,Engineering & Technology
Integrated B.Tech + M.Tech,ECE,5,10,Integrated,AICTE,Engineering & Technology
Integrated B.Tech + M.Tech,ME,5,10,Integrated,AICTE,Engineering & Technology
Integrated B.Tech + M.Tech,CE,5,10,Integrated,AICTE,Engineering & Technology
Integrated B.Tech + M.Tech,EE,5,10,Integrated,AICTE,Engineering & Technology
Integrated B.Tech + M.Tech,IT,5,10,Integrated,AICTE,Engineering & Technology
Integrated B.Tech + M.Tech,AI & ML,5,10,Integrated,AICTE,Engineering & Technology
Integrated B.Tech + M.Tech,Data Science,5,10,Integrated,AICTE,Engineering & Technology
Integrated B.Tech + M.Tech,Cyber Security,5,10,Integrated,AICTE,Engineering & Technology
Integrated B.Tech + M.Tech,Biotechnology,5,10,Integrated,AICTE,Engineering & Technology
B.Arch,General Architecture,5,10,Undergraduate,COA,Architecture & Planning
B.Arch,Architectural Conservation,5,10,Undergraduate,COA,Architecture & Planning
B.Arch,Urban Design,5,10,Undergraduate,COA,Architecture & Planning
B.Arch,Landscape Architecture,5,10,Undergraduate,COA,Architecture & Planning
B.Arch,Sustainable Architecture,5,10,Undergraduate,COA,Architecture & Planning
B.Arch,Industrial Design,5,10,Undergraduate,COA,Architecture & Planning
B.Arch,Environmental Planning,5,10,Undergraduate,COA,Architecture & Planning
B.Arch,Transport Planning,5,10,Undergraduate,COA,Architecture & Planning
B.Arch,Housing,5,10,Undergraduate,COA,Architecture & Planning
B.Arch,Regional Planning,5,10,Undergraduate,COA,Architecture & Planning
B.Arch,Town & Country Planning,5,10,Undergraduate,COA,Architecture & Planning
B.Arch,Digital Architecture,5,10,Undergraduate,COA,Architecture & Planning
M.Arch,General Architecture,2,4,Postgraduate,COA,Architecture & Planning
M.Arch,Architectural Conservation,2,4,Postgraduate,COA,Architecture & Planning
M.Arch,Urban Design,2,4,Postgraduate,COA,Architecture & Planning
M.Arch,Landscape Architecture,2,4,Postgraduate,COA,Architecture & Planning
M.Arch,Sustainable Architecture,2,4,Postgraduate,COA,Architecture & Planning
M.Arch,Industrial Design,2,4,Postgraduate,COA,Architecture & Planning
M.Arch,Environmental Planning,2,4,Postgraduate,COA,Architecture & Planning
M.Arch,Transport Planning,2,4,Postgraduate,COA,Architecture & Planning
